"選擇","場地名稱","場地數量","場地原價","場地平日價","場地假日價","排序","場地編輯","圖片上傳","圖片管理"
"","豪華野奢帳篷組","14帳","10000","11120","11920","1","編輯","圖片上傳","圖片管理"
"","候補(由官方line報價)","20帳","0","1000","1000","1","編輯","圖片上傳","圖片管理"
"","住宿-四人石茅屋","8房","6000","6000","6000","2","編輯","圖片上傳","圖片管理"
"","住宿-四人水管屋雅房","5帳","3000","3000","3000","4","編輯","圖片上傳","圖片管理"
"","住宿-四人哈比屋雅房","0間","3000","3000","3000","5","編輯","圖片上傳","圖片管理"
"","住宿-六人大巴露營車","1帳","5000","5000","5000","6","編輯","圖片上傳","圖片管理"
"","住宿-十人包棟","1間","7000","7000","7000","7","編輯","圖片上傳","圖片管理"
"","上營區-欖仁樹區 (一帳包區)","8帳","1200","1200","1200","8","編輯","圖片上傳","圖片管理"
"","上營區-欖仁樹區(二帳包區)","6帳","2000","2000","2000","9","編輯","圖片上傳","圖片管理"
"","上營區-湖岸一區(六帳包區)","1帳","6000","6000","6000","10","編輯","圖片上傳","圖片管理"
"","上營區-湖岸二區(八帳包區)","0帳","8000","8000","8000","11","編輯","圖片上傳","圖片管理"
"","上營區-木屋棧板","3帳","1500","1500","1500","12","編輯","圖片上傳","圖片管理"
"","上營區-草原一區(四帳包區)","1帳","4000","4000","4000","13","編輯","圖片上傳","圖片管理"
"","上營區-草原二區(五帳包區)","1帳","5000","5000","5000","14","編輯","圖片上傳","圖片管理"
"","上營區-草原三區(7帳包區)","1帳","7000","7000","7000","15","編輯","圖片上傳","圖片管理"
"","上營區-草原四區(7帳包區)","1帳","7000","7000","7000","16","編輯","圖片上傳","圖片管理"
"","上營區-草原五區(八帳包區)","0帳","8000","8000","8000","17","編輯","圖片上傳","圖片管理"
"","上營區-草原六區(4帳包區)","1帳","4000","4000","4000","18","編輯","圖片上傳","圖片管理"
"","上營區-草原七區(4帳包區)","1帳","4000","4000","4000","19","編輯","圖片上傳","圖片管理"
"","下營區-A&C (八帳包區)","1區","8000","8000","8000","20","編輯","圖片上傳","圖片管理"
"","下營區-B區 六帳包區","1區","6000","6000","6000","21","編輯","圖片上傳","圖片管理"
"","下營區-D區","8帳","1000","1000","1000","22","編輯","圖片上傳","圖片管理"
"","下營區-E~H區","0帳","1000","1000","1000","23","編輯","圖片上傳","圖片管理"
"","下營區-F (兩帳包區)","1帳","2000","2000","2000","24","編輯","圖片上傳","圖片管理"
"","租借-租借帳篷與代搭","30帳","1500","1500","1500","25","編輯","圖片上傳","圖片管理"
"","裝備-客廳帳","20份","1000","1000","1000","26","編輯","圖片上傳","圖片管理"
"","免搭帳(含營地費)","10帳","2500","2500","2500","26","編輯","圖片上傳","圖片管理"
"","烤肉代訂","10帳","2000","2000","2000","27","編輯","圖片上傳","圖片管理"
"","晚餐加訂","100帳","2000","2000","2000","29","編輯","圖片上傳","圖片管理"
